student_id,nom,prenom,genre,institution_id,institution_name,programme,niveau,annee_inscription,ville_origine,boursier,moyenne_s1,moyenne_s2,nb_absences_s1,nb_absences_s2,statut,annee_academique
ETU-877BEED2,Ayari,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Licence,L2,2023,Ariana,Oui,12.56,12.37,3,0,actif,2023-2024
ETU-F1BF10D5,Hamdi,Hedi,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,M1,2021,Tunis,Non,2.13,2.42,43,40,abandonne,2023-2024
ETU-1960D6E5,Gafsi,Rim,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,M2,2024,Tunis,Oui,16.58,16.99,3,6,actif,2023-2024
ETU-F11F821A,Gafsi,Bilel,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,L1,2022,Manouba,Non,17.37,16.84,9,8,actif,2023-2024
ETU-5FFBE149,Mzoughi,Salma,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,M2,2021,Manouba,Non,11.53,10.13,5,2,actif,2023-2024
ETU-F98D09F7,Oueslati,Nour,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,L3,2024,Nabeul,Oui,7.79,9.19,8,5,actif,2023-2024
ETU-3D4F4A04,Khlifi,Bilel,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Licence,L3,2021,Sousse,Non,12.4,10.99,9,3,diplome,2023-2024
ETU-BD1636FE,Sfaxi,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,M2,2021,Nabeul,Non,17.06,17.35,1,2,diplome,2023-2024
ETU-8EF40C19,Belhaj,Hajer,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,L3,2020,Manouba,Non,14.78,16.59,3,1,diplome,2023-2024
ETU-FF16E07E,Zouaghi,Nour,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,L2,2022,Manouba,Non,7.1,8.14,8,5,actif,2023-2024
ETU-E6A9E88A,Belhaj,Mariem,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,L3,2022,Bizerte,Non,14.7,14.69,9,9,diplome,2023-2024
ETU-AEE332E3,Khemiri,Rami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Licence,L3,2020,Nabeul,Non,9.43,10.21,11,5,actif,2023-2024
ETU-58679C5C,Ben Ali,Mehdi,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,M2,2021,Sfax,Non,8.28,8.86,5,3,actif,2023-2024
ETU-D200EE07,Khlifi,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,M2,2022,Ben Arous,Oui,13.14,12.63,4,5,diplome,2023-2024
ETU-5E36C86C,Zouaghi,Hedi,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Doctorat,M2,2023,Monastir,Non,11.89,13.48,10,0,actif,2023-2024
ETU-00970D7D,Oueslati,Mehdi,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Doctorat,L1,2024,Monastir,Oui,15.52,17.28,6,4,actif,2023-2024
ETU-08C56C93,Gafsi,Hamza,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,M2,2020,Monastir,Non,7.29,7.7,7,4,actif,2023-2024
ETU-75D788C2,Ayari,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Licence,L1,2020,Tunis,Non,14.56,14.1,4,4,actif,2023-2024
ETU-4565F3C4,Chaari,Fatma,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,L3,2021,Zaghouan,Non,16.38,16.98,10,4,actif,2023-2024
ETU-A603491A,Ayari,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Licence,M1,2023,Sfax,Non,11.93,11.26,12,3,actif,2023-2024
ETU-80537F54,Mansouri,Rania,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,L2,2021,Tunis,Oui,7.6,8.04,6,5,actif,2023-2024
ETU-5267C293,Khlifi,Amira,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,L1,2022,Sfax,Oui,7.54,6.12,5,2,actif,2023-2024
